country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United Arab Emirates,2.08B,2.22B,2.61B,2.68B,2.73B,2.76B,4.75B,4.99B,4.97B,4.96B,4.93B,5.08B,5.09B,5.09B,5.95B,5.14B,5.08B,5.32B,5.26B,5.26B,5.26B,5.32B,5.31B,5.31B,5.34B,5.37B,5.65B,5.65B,5.34B,5.34B,5.34B,5.34B,5.34B,5.34B,5.34B,5.34B,5.34B,5.34B,5.34B,5.34B
Argentina,561M,567M,606M,594M,585M,596M,587M,607M,677M,587M,578M,563M,474M,453M,468M,542M,562M,599M,601M,638M,681M,669M,581M,536M,474M,384M,390M,387M,349M,331M,314M,291M,276M,287M,291M,307M,295M,311M,324M,324M
Australia,127M,321M,450M,442M,484M,498M,633M,750M,725M,670M,651M,667M,706M,696M,907M,887M,955M,1.05B,1.4B,1.4B,1.55B,1.87B,1.77B,1.67B,1.63B,1.65B,1.67B,1.61B,2.47B,2.48B,2.57B,2.53B,2.54B,2.54B,2.15B,2.15B,2.15B,2.15B,2.15B,2.15B
Azerbaijan,,,,,,,,,,,,,,,,,,590M,590M,891M,891M,891M,891M,891M,891M,891M,891M,898M,950M,916M,919M,919M,919M,907M,1.21B,1.19B,1.19B,1.19B,1.92B,2.56B
Bangladesh,248M,275M,294M,269M,306M,306M,307M,307M,303M,628M,628M,624M,262M,257M,261M,236M,260M,257M,257M,280M,265M,295M,295M,375M,366M,353M,332M,324M,298M,315M,307M,302M,239M,219M,201M,178M,160M,146M,108M,108M
Bahrain,513M,495M,489M,480M,471M,460M,449M,436M,418M,403M,389M,381M,367M,350M,337M,323M,312M,312M,312M,260M,242M,242M,242M,202M,198M,198M,198M,187M,198M,198M,187M,187M,170M,163M,155M,147M,156M,164M,165M,69.5M
Bolivia,108M,140M,121M,116M,116M,118M,122M,101M,102M,102M,98.5M,103M,96M,93.7M,95.2M,95.2M,93.5M,103M,130M,130M,170M,195M,204M,197M,190M,187M,183M,179M,244M,244M,244M,244M,275M,258M,243M,243M,263M,222M,207M,192M
Brazil,49.2M,55.7M,66.8M,76.1M,77.9M,86.3M,89.1M,97.4M,101M,108M,107M,115M,123M,127M,135M,143M,147M,212M,210M,214M,205M,204M,227M,228M,303M,284M,323M,339M,338M,341M,393M,426M,426M,425M,437M,399M,350M,343M,342M,338M
Brunei,182M,186M,194M,191M,209M,209M,298M,290M,283M,278M,290M,347M,351M,351M,351M,351M,351M,343M,335M,328M,321M,312M,307M,303M,301M,298M,290M,301M,282M,271M,264M,253M,242M,237M,231M,226M,221M,211M,211M,211M
Canada,2.14B,2.2B,2.22B,2.24B,2.41B,2.39B,2.35B,2.31B,2.29B,2.34B,2.34B,2.32B,2.29B,1.91B,1.63B,1.65B,1.66B,1.55B,1.5B,1.47B,1.44B,1.45B,1.43B,1.37B,1.37B,1.4B,1.41B,1.4B,1.5B,1.48B,1.69B,1.65B,1.71B,1.74B,1.7B,1.86B,1.8B,1.79B,1.72B,1.79B
China,637M,634M,779M,792M,807M,791M,785M,811M,836M,928M,906M,909M,1.27B,1.52B,1.51B,1.51B,1.06B,1.05B,1.24B,1.24B,1.24B,1.24B,1.15B,1.21B,1.31B,1.39B,1.53B,2.05B,2.44B,2.58B,2.47B,2.64B,2.83B,3.04B,3.22B,4.21B,4.93B,5.46B,5.73B,7.56B
Colombia,106M,106M,104M,97.9M,94.4M,92.7M,97.9M,84M,110M,94.4M,87.5M,85.8M,160M,183M,185M,188M,188M,170M,170M,163M,112M,111M,104M,98.8M,103M,97.9M,107M,108M,108M,116M,133M,134M,140M,135M,117M,107M,98.7M,95.6M,92.8M,92.8M
Germany,210M,196M,191M,253M,242M,234M,302M,298M,287M,278M,172M,154M,157M,157M,176M,190M,194M,181M,181M,214M,209M,201M,190M,172M,159M,148M,129M,117M,99.9M,77.8M,69M,62.9M,56.2M,49.5M,40.5M,36.7M,33.3M,29.4M,24M,19.8M
