country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Angola,188M,151M,199M,234M,293M,275M,191M,273M,273M,283M,222M,198M,182M,259M,404M,426M,504M,532M,550M,689M,815M,887M,1.21B,1.2B,1.23B,1.23B,1.27B,1.3B,1.3B,1.3B,1.24B,1.24B,1.24B,1.23B,1.15B,1.3B,1.3B,1.14B,1.11B,1.11B
United Arab Emirates,4.15B,4.39B,4.41B,4.41B,4.43B,4.5B,13.3B,13.4B,13.4B,13.4B,13.4B,13.4B,13.4B,13.4B,13.4B,13.4B,13.3B,13.3B,13.3B,13.3B,13.3B,13.3B,13.3B,13.3B,13.3B,13.3B,13.3B,13.3B,13.3B,13.3B,13.3B,13.3B,13.3B,13.3B,13.3B,13.3B,13.3B,13.3B,13.3B,13.3B
Argentina,335M,296M,266M,334M,320M,306M,305M,306M,311M,296M,214M,230M,275M,302M,307M,326M,355M,358M,376M,419M,406M,393M,385M,365M,338M,297M,353M,357M,344M,343M,344M,344M,321M,318M,325M,327M,295M,275M,326M,326M
Australia,290M,357M,400M,340M,349M,335M,392M,396M,435M,423M,431M,440M,439M,444M,521M,518M,521M,551M,651M,647M,674M,676M,624M,511M,530M,507M,479M,468M,578M,554M,523M,528M,535M,540M,326M,326M,326M,326M,326M,326M
Azerbaijan,,,,,,,,,,,,171M,171M,171M,158M,158M,158M,158M,158M,161M,161M,161M,955M,955M,955M,955M,955M,955M,955M,955M,955M,955M,955M,955M,955M,955M,955M,955M,955M,955M
Brazil,180M,201M,234M,252M,275M,296M,322M,348M,384M,376M,616M,657M,677M,680M,733M,849M,911M,969M,1B,1.11B,1.15B,1.16B,1.34B,1.45B,1.53B,1.61B,1.66B,1.72B,1.75B,1.76B,1.94B,2.05B,2.09B,2.13B,2.21B,1.77B,1.72B,1.75B,1.83B,1.73B
Brunei,177M,205M,197M,208M,201M,197M,201M,218M,164M,157M,153M,157M,154M,171M,162M,153M,149M,145M,139M,177M,168M,158M,150M,143M,153M,151M,164M,147M,147M,150M,150M,150M,150M,150M,150M,150M,150M,150M,150M,150M
Canada,5.39B,5.48B,5.5B,5.52B,5.53B,5.58B,5.61B,5.62B,5.66B,5.63B,5.5B,5.47B,5.41B,5.39B,6.57B,6.6B,6.68B,6.66B,6.8B,24.8B,24.8B,24.7B,24.6B,24.5B,24.5B,24.6B,24.5B,24.4B,24.1B,23.9B,23.8B,23.8B,23.7B,23.6B,23.5B,23.4B,23.3B,23.5B,23.3B,23.1B
China,1.82B,1.81B,1.81B,2.03B,2.23B,2.33B,2.34B,2.38B,2.36B,2.19B,2.19B,2.12B,2.07B,2.24B,2.22B,2.23B,2.24B,2.32B,2.38B,2.06B,2.07B,2.1B,2.12B,2.11B,2.49B,2.49B,2.76B,2.83B,2.89B,2.95B,3.17B,3.24B,3.33B,3.37B,3.43B,3.5B,3.5B,3.54B,3.57B,3.57B
"Congo, Rep.",96.2M,100M,103M,101M,109M,103M,98.2M,94.8M,102M,96.8M,103M,95.2M,98.9M,88.7M,193M,184M,218M,220M,232M,232M,205M,205M,207M,243M,243M,260M,265M,265M,265M,273M,273M,273M,273M,365M,391M,407M,407M,407M,407M,407M
