country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Angola,22.5,17.5,22.2,25.2,30.5,27.6,18.5,25.5,24.6,24.7,18.7,16.1,14.4,19.8,29.9,30.6,35,35.8,35.8,43.4,49.7,52.3,69.3,66.2,65.7,63.5,63.2,62,59.7,57.6,52.9,51,49.2,47.2,42.6,46.6,45,38.4,36.1,35
United Arab Emirates,4070,4000,3790,3590,3420,3290,9170,8730,8220,7750,7320,6910,6520,6160,5830,5540,5250,4990,4740,4500,4260,4040,3830,3590,3280,2910,2520,2160,1880,1680,1560,1490,1460,1450,1450,1440,1430,1410,1390,1370
Argentina,12,10.5,9.24,11.4,10.8,10.1,9.92,9.82,9.82,9.2,6.57,6.94,8.21,8.9,8.93,9.35,10.1,10,10.4,11.5,11,10.5,10.2,9.58,8.78,7.65,8.98,8.99,8.58,8.46,8.42,8.34,7.69,7.53,7.61,7.58,6.78,6.26,7.34,7.27
Australia,19.8,24.2,26.7,22.4,22.6,21.4,24.6,24.5,26.4,25.3,25.4,25.6,25.2,25.2,29.3,28.8,28.6,30,35,34.4,35.5,35.2,32.1,26.1,26.7,25.1,23.4,22.4,27.1,25.5,23.6,23.4,23.4,23.2,13.8,13.6,13.4,13.3,13.1,12.9
Azerbaijan,,,,,,,,,,,,23.2,22.9,22.6,20.5,20.3,20.1,19.9,19.8,19.9,19.8,19.6,115,114,113,112,111,109,108,107,106,104,103,102,100,99.2,98.1,97,96,95
Brazil,1.49,1.63,1.85,1.95,2.08,2.19,2.33,2.47,2.67,2.57,4.13,4.33,4.39,4.33,4.6,5.24,5.54,5.8,5.91,6.45,6.61,6.53,7.45,7.95,8.33,8.63,8.83,9.06,9.09,9.06,9.93,10.4,10.5,10.6,10.9,8.67,8.36,8.4,8.75,8.22
Brunei,910,1020,957,982,919,877,871,919,670,625,593,589,563,605,560,516,488,463,436,544,504,465,433,405,425,413,442,392,388,391,386,381,376,371,366,362,357,353,350,346
Canada,221,222,221,219,217,217,215,213,211,207,200,196,192,189,228,226,227,224,226,817,809,799,789,779,770,764,752,741,722,707,698,688,679,669,658,649,639,641,628,619
China,1.82,1.79,1.76,1.95,2.11,2.17,2.14,2.13,2.07,1.89,1.86,1.77,1.72,1.84,1.8,1.8,1.79,1.84,1.87,1.61,1.61,1.62,1.62,1.6,1.88,1.87,2.06,2.1,2.14,2.17,2.32,2.35,2.41,2.42,2.45,2.48,2.48,2.49,2.5,2.49
"Congo, Rep.",54.1,54.6,54.6,51.9,54.5,50.2,46.5,43.7,45.8,42.2,43.7,39.3,39.7,34.7,73.2,68,78.3,76.8,78.6,76.3,65.7,63.8,62.4,71.5,69.3,71.7,70.7,68.3,66,65.8,63.8,62.1,60.5,78.9,82.6,83.8,81.7,79.6,77.6,75.6
Colombia,2.79,2.63,2.96,3.04,5.12,5.65,7.58,8.35,8.79,8.32,8.2,7.61,12.8,12.3,12,11.1,10.3,9.32,8.81,8.01,6.79,6.24,5.44,5.07,4.79,4.65,4.77,4.71,4.2,4.15,5.73,5.94,6.51,6.97,7.1,6.62,5.67,4.64,4.9,5.31
Denmark,12,9.87,8.71,8.21,12.4,11.9,10.7,10.7,14.4,16.7,15.7,16.3,19.7,18.5,19.8,23.8,22.4,24.4,22.7,23.2,28.4,34.3,32.4,32.3,33.5,32.1,29,27.8,20.1,22.7,22.1,19.7,17.7,16.3,14.7,11.8,10.5,10.2,10.4,10.4
Algeria,58.2,55.6,63,59.6,56.4,53.6,52,49.1,51.3,50.2,48.7,47.5,46.4,45.4,48.2,47.3,50.3,51.4,51.1,50.4,49.7,49.1,48.4,49.9,49.2,50.5,49.7,48.7,47.9,47.1,46.3,45.4,44.5,43.6,42.8,41.9,41,40.2,39.4,38.7
